🏣	Japanese Post Office	Food & drink
🏤	European Post Office	Food & drink
🏥	Hospital	Travel & places
🏦	Bank	Travel & places
🏧	Automated Teller Machine	Food & drink
🏨	Hotel	Travel & places
🏩	Love Hotel	Travel & places
🏪	Convenience Store	Travel & places
🏫	School	Travel & places
🏬	Department Store	Travel & places
🏭	Factory	Travel & places
🏮	Izakaya Lantern	Animals & nature
🏯	Japanese Castle	Travel & places
🏰	European Castle	Travel & places
🏱	White Pennant	Animals & nature
🏲	Black Pennant	Animals & nature
🏳	Waving White Flag	Symbols
🏴	Waving Black Flag	Symbols
🏵	Rosette	Animals & nature
🏶	Black Rosette	Animals & nature
🏷	Label	Activities & objects
🏸	Badminton Racquet And Shuttlecock	Travel & places
🏹	Bow And Arrow	Symbols
🏺	Amphora	Food & drink
🐀	Rat	Animals & nature
🐁	Mouse	Animals & nature
🐂	Ox	Animals & nature
🐃	Water Buffalo	Animals & nature
🐄	Cow	Animals & nature
🐅	Tiger	Animals & nature
🐆	Leopard	Symbols
🐇	Rabbit	Animals & nature
🐈	Cat	Animals & nature
🐉	Dragon	Animals & nature
🐊	Crocodile	Animals & nature
🐋	Whale	Animals & nature
🐌	Snail	People
🐍	Snake	Animals & nature
🐎	Horse	Animals & nature
🐏	Ram	Other
🐐	Goat	Animals & nature
🐑	Sheep	Animals & nature
🐒	Monkey	Smileys
🐓	Rooster	Animals & nature
🐔	Chicken	Animals & nature
🐕	Dog	Animals & nature
🐖	Pig	Animals & nature
🐗	Boar	Animals & nature
🐘	Elephant	Animals & nature
🐙	Octopus	Animals & nature
🐚	Spiral Shell	Animals & nature
🐛	Bug	Animals & nature
🐜	Ant	Animals & nature
🐝	Honeybee	Animals & nature
🐞	Lady Beetle	Animals & nature
🐟	Fish	Animals & nature
🐠	Tropical Fish	Animals & nature
🐡	Blowfish	Animals & nature
🐢	Turtle	Animals & nature
🐣	Hatching Chick	Animals & nature
🐤	Baby Chick	People
🐥	Front-Facing Baby Chick	People
🐦	Bird	Animals & nature
